"lemma","count","strong","lexicon"
"Χαναναῖος",1,"G54780","{'brief': 'Canaanite', 'long': 'Canaanite, a Biblical and archaic name for Phoenician.'}"
"Χανάαν",2,"G54770","{'brief': 'Canaan', 'long': 'Canaan, the whole of Palestine or Palestine west of the river Jordan.'}"
"Καφαρναούμ",16,"G25840","{'brief': 'Capernaum', 'long': 'Capernaum, a town of Galilee.'}"
"Κυρηναῖος",6,"G29560","{'brief': 'belonging to Cyrene, a Cyrenaean', 'long': 'belonging to Cyrene, a Cyrenaean.'}"
"Κυρήνη",1,"G29570","{'brief': 'Cyrene', 'long': 'Cyrene, a district west of Egypt on the Mediterranean coast, forming with Crete a Roman province.'}"
"Δανιήλ",1,"G11580","{'brief': 'Daniel', 'long': 'Daniel.'}"
"Δαυείδ",59,"G11380","{'brief': 'David', 'long': 'David, King of Israel.'}"
"Αἴγυπτος",25,"G01250","{'brief': 'Egypt', 'long': 'Egypt.'}"
"Αἰγύπτιος",5,"G01240","{'brief': 'Egyptian', 'long': 'Egyptian.'}"
"Ἐλεάζαρ",2,"G16480","{'brief': 'Eleazar', 'long': 'Eleazar, son of Eliud, and father of Matthan.'}"
"Ἐλιακείμ",3,"G16620","{'brief': 'Eliakim', 'long': 'Eliakim, son of Abiud and father of Azor; son of Melea and father of Jonam.'}"
"Ἠλείας",29,"G22430","{'brief': 'Elijah', 'long': 'Elijah, the prophet.'}"
"Γαλιλαία",61,"G10560","{'brief': 'Galilee', 'long': 'Galilee, a district towards the southern end of the Roman province Syria; the northern division of Palestine.'}"
"Γαλιλαῖος",11,"G10570","{'brief': 'a Galilean', 'long': 'a Galilean, an inhabitant of Galilee.'}"
"Γεθσημανεί",2,"G10680","{'brief': 'Gethsemane', 'long': 'Gethsemane, a small place between the brook Kidron and the Mount of Olives near Jerusalem.'}"
"Γολγοθᾶ",3,"G11150","{'brief': 'Golgotha', 'long': 'Golgotha, a knoll outside the wall of Jerusalem.'}"
"Γόμορρα",4,"G11160","{'brief': 'Gomorrah', 'long': 'Gomorrah, one of the destroyed cities on the Dead Sea.'}"
"Ἡρῴδης",43,"G22640","{'brief': 'Herod', 'long': 'Herod; four persons are called by this name: Herod the Great, Herod Antipas, Herod Agrippa, and Herod Agrippa the younger.'}"
"Ἡρῳδιάς",6,"G22660","{'brief': 'Herodias', 'long': 'Herodias (died after A.D. 40), daughter of Aristobulus and granddaughter of Herod I, wife, first, of her uncle Herod, second, of his half-brother, her uncle Herod Antipas.'}"
"Ἑζεκίας",2,"G14780","{'brief': 'Hezekiah', 'long': 'Hezekiah, son of Ahaz, father of Manasseh, and king of Judah (727-686 [?] B.C.).'}"
"Ἰσαάκ",20,"G24640","{'brief': 'Isaac', 'long': '(Hebrew), Isaac, the patriarch.'}"
"Ἠσαΐας",22,"G22680","{'brief': 'Isaiah', 'long': 'Isaiah, the prophet.'}"
"Ἰακώβ",27,"G23840","{'brief': 'Jacob', 'long': '(Hebrew), Jacob, (a) the patriarch, son of Isaac, (b) father of Joseph, the husband of Mary.'}"
"Ἰάκωβος",42,"G23850","{'brief': 'James', 'long': 'James, (a) the Small, son of Alphaeus, and one of the Twelve, (b) half-brother of Jesus, (c) father (?) of Jude, (d) son of Zebedee, and brother of John, one of the Twelve, killed A.D. 44.'}"
"Ἰωράμ",2,"G24960","{'brief': 'Joram, Jehoram', 'long': '(Hebrew), Joram, Jehoram, son of Jehoshaphat and father of Uzziah.'}"
"Ἰωσαφάτ",2,"G24980","{'brief': 'Jehoshaphat', 'long': '(Hebrew), Jehoshaphat, king of Judah, son of Asaph, father of Joram, an ancestor of Jesus.'}"
"Ἰερεμίας",3,"G24080","{'brief': 'Jeremiah', 'long': 'Jeremiah, Hebrew prophet.'}"
"Ἰερειχώ",7,"G24100","{'brief': 'Jericho', 'long': 'Jericho, a city a little north of the Dead Sea.'}"
"Ἱεροσόλυμα",63,"G24140","{'brief': 'Jerusalem', 'long': 'the Greek form of the Hebrew name: Jerusalem.'}"
"Ἰερουσαλήμ",76,"G24140","{'brief': 'Jerusalem', 'long': 'the Greek form of the Hebrew name: Jerusalem.'}"
"Ἱεροσολυμείτης",2,"G24150","{'brief': 'an inhabitant of Jerusalem', 'long': 'an inhabitant of Jerusalem.'}"
"Ἰεσσαί",5,"G24210","{'brief': 'Jesse', 'long': '(Hebrew), Jesse, son of Obed, and father of King David.'}"
"Ἰωάννης",135,"G24910","{'brief': 'John', 'long': 'John: the Baptist, the apostle, a member of the Sanhedrin, or John Mark.'}"
"Ἰωνᾶς",9,"G24950","{'brief': 'Jonah', 'long': '(Hebrew), Jonah, the Hebrew prophet.'}"
"Ἰορδάνης",15,"G24460","{'brief': 'the Jordan', 'long': 'the Jordan, a great river flowing due south and bounding Galilee, Samaria, and Judea on the east.'}"
"Ἰωσήφ",35,"G25010","{'brief': 'Joseph', 'long': 'Joseph, a proper name.'}"
"Ἰωσίας",2,"G25020","{'brief': 'Josiah', 'long': '(Hebrew), Josiah, king of Judah.'}"
"Ἰωαθάμ",2,"G24880","{'brief': 'Jotham', 'long': 'Jotham, son of Uzziah and father of Ahaz.'}"
"Ἰούδας",44,"G24550","{'brief': 'Judah, Judas, Jude', 'long': 'Judah, Judas, Jude.'}"
"Ἰσκαριώτης",5,"G24690","{'brief': 'Iscariot, a man of Kerioth', 'long': 'Iscariot, surname of Judas.'}"
"Ἰουδαία",47,"G24490","{'brief': 'Judea', 'long': 'Judea, a Roman province, capital Jerusalem.'}"
"Ἰουδαῖος",57,"G24530","{'brief': 'Jewish', 'long': 'Jewish.'}"
"Μανασσῆς",3,"G31280","{'brief': 'Manasseh', 'long': '(Hebrew), Manasseh, (a) son of Joseph, founder of a tribe of Israel, (b) son of Hezekiah and father of Amon (Amos).'}"
"Μαρία",31,"G31370","{'brief': 'Mary, Miriam', 'long': 'Mary, Miriam, (a) the mother of Jesus, (b) of Magdala, (c) sister of Martha and Lazarus, (d) wife of Cleopas, (e) mother of John Mark, (f) a Christian woman in Rome.'}"
"Μαριάμ",22,"G31370","{'brief': 'Mary, Miriam', 'long': 'Mary, Miriam, (a) the mother of Jesus, (b) of Magdala, (c) sister of Martha and Lazarus, (d) wife of Cleopas, (e) mother of John Mark, (f) a Christian woman in Rome.'}"
"Μαθθαῖος",5,"G31560","{'brief': 'Matthew', 'long': 'Matthew.'}"
"Λευείς",4,"G30170","{'brief': 'Levi', 'long': '(Hebrew), Levi, (a) an ancestor of Jesus, (b) another ancestor of Jesus, (c) third son of Jacob, the patriarch, and founder of a tribe named after him, (d) son of Alphaeus, and called Matthew, a revenue officer and one of the twelve apostles of Jesus.'}"
"Μωϋσῆς",79,"G34750","{'brief': 'Moses', 'long': 'Moses; met: the books of Moses, the Pentateuch.'}"
"Νεφθαλείμ",3,"G35080","{'brief': 'Naphtali', 'long': 'Naphtali, son of Jacob, founder of a tribe which occupied territory.'}"
"Ναζαρέτ",7,"G34780","{'brief': 'Nazareth', 'long': 'Nazareth, a city of Galilee, where Jesus lived before His ministry.'}"
"Ναζωραῖος",13,"G34800","{'brief': 'Nazarene', 'long': 'a Nazarene, an inhabitant of Nazareth.'}"
"Ναζαρά",2,"G34780","{'brief': 'Nazareth', 'long': 'Nazareth, a city of Galilee, where Jesus lived before His ministry.'}"
"Ναζαρέθ",3,"G34780","{'brief': 'Nazareth', 'long': 'Nazareth, a city of Galilee, where Jesus lived before His ministry.'}"
"Ναζαρηνός",6,"G34790","{'brief': 'of Nazareth', 'long': 'of Nazareth, a Nazarene.'}"
"Νινευείτης",3,"G35360","{'brief': 'a Ninevite', 'long': 'a Ninevite, an inhabitant of Nineveh, a city on the Tigris in Assyria.'}"
"Νῶε",8,"G35750","{'brief': 'Noah', 'long': '(Hebrew) Noah.'}"
"Σίμων",76,"G46130","{'brief': 'Simon', 'long': 'Simon.'}"
"πέτρος",155,"G40740","{'brief': 'Peter', 'long': 'Peter, a Greek name meaning ""rock"".'}"
"Κηφᾶς",9,"G27860","{'brief': 'Cephas', 'long': 'Cephas (Aramaic for rock), the new name given to Simon Peter, the apostle.'}"
"Συμεών",6,"G48260","{'brief': 'Simeon or Simon', 'long': 'Simeon or Simon.'}"
"Φίλιππος",37,"G53760","{'brief': 'Philip', 'long': 'Philip, (a) one of the twelve apostles of Jesus, (b) tetrarch of the Ituraean and Trachonitic region, half-brother of Herod Antipas, tetrarch of Galilee, (c) one of the seven original deacons at Jerusalem and a missionary.'}"
"Πειλᾶτος",55,"G40910","{'brief': 'Pilate', 'long': 'Pilate.'}"
"Ῥαχήλ",1,"G44780","{'brief': 'Rachel', 'long': 'Rachel, younger wife of the patriarch Jacob.'}"
"Ῥαχάβ",1,"G44770","{'brief': 'Rahab', 'long': 'Rahab, a Canaanitess, who rescued the Hebrew spies at Jericho.'}"
"Ῥαάβ",2,"G44600","{'brief': 'Rahab', 'long': 'Rahab, a Canaanitess, who rescued the Hebrew spies at Jericho.'}"
"Ῥαμά",1,"G44710","{'brief': 'Rama', 'long': 'Rama, a place in Ephraim, two hours north of Jerusalem.'}"
"Ῥοβοάμ",2,"G44970","{'brief': 'Rehoboam', 'long': 'Rehoboam, son of Solomon, and King of Israel.'}"
"Ῥούθ",1,"G45030","{'brief': 'Ruth', 'long': 'Ruth, wife of Boaz and mother of Obed.'}"
"Σαμαρείτης",9,"G45410","{'brief': 'a Samaritan', 'long': 'a Samaritan.'}"
"Σαμάρεια",11,"G45400","{'brief': 'Samaria', 'long': 'Samaria, a small district of Palestine, bounded by Galilee on the north, and by Judaea on the south, and taking its name from the city of Samaria, the ancient capital of the kingdom of (northern) Israel.'}"
"Σαμαρεῖτις",2,"G45420","{'brief': 'a Samaritan woman', 'long': 'a Samaritan woman.'}"
"θάλασσα",90,"G22810","{'brief': 'the sea, lake', 'long': '(a) the sea, in contrast to the land, (b) a particular sea or lake, e.g. the sea of Galilee (Tiberias), the Red Sea.'}"
"λίμνη",9,"G30410","{'brief': 'a lake', 'long': 'a lake.'}"
"Σιδών",10,"G46050","{'brief': 'Sidon', 'long': 'Sidon, a great coast city of Phoenicia.'}"
"Σιδώνιος",2,"G46060","{'brief': 'Sidonian', 'long': 'Sidonian, inhabitant of Sidon.'}"
"Σόδομα",9,"G46700","{'brief': 'Sodom', 'long': 'Sodom.'}"
"Σολομών",9,"G46720","{'brief': 'Solomon', 'long': 'Solomon, son of David King of Israel, and Bathsheba.'}"
"Σολομῶν",3,"G46720","{'brief': 'Solomon', 'long': 'Solomon, son of David King of Israel, and Bathsheba.'}"
"Συρία",8,"G49470","{'brief': 'Syria', 'long': 'Syria, a great Roman imperial province, united with Cilicia.'}"
"Σύρος",1,"G49480","{'brief': 'Syrian', 'long': 'Syrian, belonging to Syria.'}"
"Θαμάρ",1,"G22830","{'brief': 'Tamar', 'long': 'Tamar, mother of Perez and Zerah by Judah, son of Jacob.'}"
"Θωμᾶς",11,"G23810","{'brief': 'Thomas', 'long': 'Thomas, also called Didymus, one of the Twelve.'}"
"Τύρος",11,"G51840","{'brief': 'Tyre', 'long': 'Tyre, an ancient city, the capital of Phoenicia.'}"
"Τύριος",1,"G51830","{'brief': 'an inhabitant of Tyre', 'long': 'a Tyrian, an inhabitant of Tyre.'}"
"Οὐρίας",1,"G37740","{'brief': 'Uriah', 'long': 'Uriah, husband of Bathsheba the mother of Solomon.'}"
"Ὀζείας",2,"G36040","{'brief': 'Uzziah', 'long': 'Uzziah, son of Joram and father of Jotham, and king of Judah from about 785 to 746 B.C., an ancestor of Jesus.'}"
"Σαδώκ",2,"G45240","{'brief': 'Zadok', 'long': 'Zadok, an ancestor of Jesus.'}"
"Ζεβεδαῖος",12,"G21990","{'brief': 'Zebedee', 'long': 'Zebedee, father of the apostles James and John.'}"
"Ζαβουλών",3,"G21940","{'brief': 'Zebulon', 'long': 'Zebulon, one of the sons of Jacob, and founder of one of the twelve tribes.'}"
"Ζοροβαβέλ",3,"G22160","{'brief': 'Zerubbabel', 'long': 'Zerubbabel, son of Shealtiel (Salathiel) and father of Abiud and Rhesa.'}"
"Ἀβιαθάρ",1,"G00080","{'brief': 'Abiathar', 'long': ""Abiathar, a priest in King David's time.""}"
"Ἰδουμαία",1,"G24010","{'brief': 'Idumea, Edom', 'long': 'Idumea, Edom, a district of Arabia, immediately south of Judea.'}"
"Ἀαρών",5,"G00020","{'brief': 'Aaron', 'long': 'Aaron, son of Amram and Jochebed, brother of Moses.'}"
"Ἀδάμ",9,"G00760","{'brief': 'Adam', 'long': 'Adam, the first man, the first parent of the human race.'}"
"Ἅννα",2,"G04510","{'brief': 'Anna', 'long': 'Anna, a prophetess, who visited the infant Jesus.'}"
"Ἅννας",3,"G04520","{'brief': 'Annas', 'long': 'Annas, high priest at Jerusalem.'}"
"Ἀσήρ",2,"G07680","{'brief': 'Asher', 'long': 'Asher, one of the sons of Jacob, and founder of one of the Twelve Tribes.'}"
"Ἐλισαῖος",1,"G16660","{'brief': 'Elisha', 'long': 'Elisha.'}"
"Ἐλεισάβετ",9,"G16650","{'brief': 'Elisabeth', 'long': 'Elizabeth, mother of John the Baptizer.'}"
"Ἑνώχ",3,"G18020","{'brief': 'Enoch', 'long': 'Enoch, son of Jared and father of Methuselah.'}"
"Γαβριήλ",2,"G10430","{'brief': 'Gabriel', 'long': 'the angel Gabriel, a messenger of God.'}"
"Λάμεχ",1,"G29840","{'brief': 'Lamech', 'long': '(Hebrew), Lamech, son of Methuselah and father of Noah.'}"
"Λευείτης",3,"G30190","{'brief': 'a Levite', 'long': ""a Levite, properly a man of the tribe of Levi; hence: a priest's assistant, an under priest, as the members of that tribe were charged with this duty.""}"
"Λευεί",4,"G30170","{'brief': 'Levi', 'long': '(Hebrew), Levi, (a) an ancestor of Jesus, (b) another ancestor of Jesus, (c) third son of Jacob, the patriarch, and founder of a tribe named after him, (d) son of Alphaeus, and called Matthew, a revenue officer and one of the twelve apostles of Jesus.'}"
"Λευειτικός",1,"G30200","{'brief': 'Levitical', 'long': 'belonging to the tribe of Levi; Levitical.'}"
"Λώτ",4,"G30910","{'brief': 'Lot', 'long': '(Hebrew), Lot, nephew of Abraham.'}"
"Μάρθα",13,"G31360","{'brief': 'Martha', 'long': 'Martha, sister of Mary and Lazarus of Bethany.'}"
"Ναιμάν",1,"G34970","{'brief': 'Naaman', 'long': 'Naaman.'}"
"Ναχώρ",1,"G34930","{'brief': 'Nahor', 'long': 'Nahor, one of the ancestors of Jesus.'}"
"Ναθάμ",1,"G34810","{'brief': 'Nathan', 'long': 'Nathan, son of David, and an ancestor of Jesus.'}"
"Σήθ",1,"G45890","{'brief': 'Seth', 'long': 'Seth, third son of Adam.'}"
"Σήμ",1,"G45900","{'brief': 'Shem', 'long': 'Shem, a son of Noah.'}"
"Θάρα",1,"G22910","{'brief': 'Terah', 'long': 'Terah, the father of Abraham.'}"
"Ζακχαῖος",3,"G21950","{'brief': 'Zacchaeus', 'long': 'Zacchaeus, a Jewish tax-gatherer.'}"
"Ζαχαρίας",11,"G21970","{'brief': 'Zechariah', 'long': 'Zechariah, (a) a priest referred to as a son of Jehoiada, (b) another priest, father of John the Baptist.'}"
"Κανά",4,"G25800","{'brief': 'Cana', 'long': 'Cana, a town in Galilee.'}"
"Ἐφραίμ",1,"G21870","{'brief': 'Ephraim', 'long': 'Ephraim, a city.'}"
"Ἕλλην",25,"G16720","{'brief': 'a Hellene, a Greek', 'long': 'a Hellene, the native word for a Greek; it is, however, a term wide enough to include all Greek-speaking (i.e. educated) non-Jews.'}"
"Ἑλληνιστί",2,"G16760","{'brief': 'in the Greek language', 'long': 'in the Greek language.'}"
"Ἑλληνιστής",3,"G16750","{'brief': 'a Hellenist, Grecian Jew', 'long': 'a Hellenist, Grecian Jew, a Greek-speaking Jew, that is one who can speak Greek only and not Hebrew (or Aramaic).'}"
"Ἑλληνίς",1,"G16740","{'brief': 'a female Greek', 'long': 'a female Greek.'}"
"Ἑλληνικός",1,"G16730","{'brief': 'Greek, the Greek language', 'long': 'Greek, the Greek language.'}"
"Λάζαρος",15,"G29760","{'brief': 'Lazarus, Eliezer', 'long': 'Lazarus, Eliezer, (a) the beggar, (b) the brother of Martha and Mary, of Bethany.'}"
"Ῥωμαῖος",12,"G45140","{'brief': 'Roman, a Roman citizen', 'long': 'Roman; subst: a Roman citizen.'}"
"Ῥώμη",8,"G45160","{'brief': 'Rome', 'long': 'Rome, the famous city on the Tiber, the capital of the Roman Empire.'}"
"Ἀντιοχεύς",1,"G04910","{'brief': 'an Antiochian', 'long': 'an Antiochian, an inhabitant of Antioch.'}"
"Ἀντιόχεια",18,"G04900","{'brief': 'Antioch', 'long': 'Antioch, (a) Antioch on the river Orontes, capital of the Province Syria, (b) ""Pisidian"" Antioch, not in Pisidia, but near Pisidia, in the Roman Province Galatia.'}"
"Ἀπολλῶς",10,"G06250","{'brief': 'Apollos', 'long': 'Apollos, a Jew of Alexandria.'}"
"Ἀκύλας",6,"G02070","{'brief': 'Aquila', 'long': 'the Greek way of writing the Latin Aquila, a male proper name; the husband of Priscilla (Prisca), and a Jew, of a family belonging to (Sinope in ?) Pontus.'}"
"Ἄραψ",1,"G06900","{'brief': 'an Arabian', 'long': 'an Arabian.'}"
"Ἀραβία",2,"G06880","{'brief': 'Arabia', 'long': 'Arabia, the district south of Palestine.'}"
"Ἀσία",18,"G07730","{'brief': 'roughly the western third of Asia Minor', 'long': 'the Roman province of Asia, roughly the western third of Asia Minor.'}"
"Βαρναβᾶς",28,"G09210","{'brief': 'Barnabas', 'long': 'Barnabas, a Cypriote Jew, uncle of John Mark; his other name was Joseph.'}"
"Βενιαμείν",4,"G09580","{'brief': 'Benjamin', 'long': 'Benjamin, youngest son of Jacob, founder of one of the twelve tribes of Israel.'}"
"Βέροια",2,"G09600","{'brief': 'Berea', 'long': 'Berea, a town of the province Macedonia.'}"
"Βεροιαῖος",1,"G09610","{'brief': 'belonging to Berea, Berean', 'long': 'belonging to Berea, Berean.'}"
"Χαλδαῖος",1,"G54660","{'brief': 'a Chaldean', 'long': 'a Chaldean.'}"
"Κιλικία",8,"G27910","{'brief': 'Cilicia', 'long': 'Cilicia, a Roman province between the Taurus range of mountains and the coast in the south-east corner of Asia Minor, linked up with the province of Syria.'}"
"Κόρινθος",6,"G28820","{'brief': 'Corinth', 'long': 'Corinth, in north-east Peloponnese, the capital of the Roman province Achaia.'}"
"Κορίνθιος",2,"G28810","{'brief': 'Corinthian', 'long': 'Corinthian, of Corinth.'}"
"Κορνήλιος",8,"G28830","{'brief': 'Cornelius', 'long': 'Cornelius, a centurion of the Roman army, stationed at Caesarea.'}"
"Κρής",2,"G29120","{'brief': 'a Cretan', 'long': 'a Cretan, an inhabitant of Crete.'}"
"Κρήτη",5,"G29140","{'brief': 'Crete', 'long': 'Crete.'}"
"Κύπριος",3,"G29530","{'brief': 'a Cypriote, belonging to Cyprus', 'long': 'a Cypriote, belonging to Cyprus.'}"
"Κύπρος",5,"G29540","{'brief': 'Cyprus', 'long': 'Cyprus.'}"
"Δαμασκός",15,"G11540","{'brief': 'Damascus', 'long': 'Damascus.'}"
"Ἐλαμείτης",1,"G16390","{'brief': 'an Elamite', 'long': 'an Elamite, one of a people living to the north of the Persian Gulf in the southern part of Persia.'}"
"Ἔφεσος",16,"G21810","{'brief': 'Ephesus', 'long': 'Ephesus, a coast city, capital of the Roman province Asia.'}"
"Ἐφέσιος",5,"G21800","{'brief': 'Ephesian', 'long': 'Ephesian, of Ephesus.'}"
"Αἰθίοψ",2,"G01280","{'brief': 'an Ethiopian', 'long': 'an Ethiopian, Abyssinian.'}"
"Γαλατικός",2,"G10540","{'brief': 'belonging to the province Galatia', 'long': 'Galatic, belonging to the province Galatia.'}"
"Γαλατία",4,"G10530","{'brief': 'Galatia', 'long': 'Galatia, a large Roman province in central Asia Minor, comprising the districts of Paphlagonia, Pontus Galaticus, Galatia (in the narrower sense, which some still think is intended in the NT), Phrygia Galatica, Lycaonia Galatica, Pisidia and Isaurica.'}"
"Γαλάτης",1,"G10520","{'brief': 'a Galatian', 'long': 'a Galatian (meaning any inhabitant of the Roman province Galatia).'}"
"Γάζα",1,"G10480","{'brief': 'Gaza', 'long': 'Gaza, an old town in the south of Palestine, on the sea-coast.'}"
"Ἑλλάς",1,"G16710","{'brief': 'Hellas, Greece', 'long': 'Hellas, the native name for Greece.'}"
"Χαρράν",2,"G54880","{'brief': 'Haran', 'long': 'Haran.'}"
"Ἰκόνιον",6,"G24300","{'brief': 'Iconium', 'long': 'Iconium, a Phrygian city of the Roman province Galatia (modern Konia).'}"
"Μᾶρκος",7,"G31380","{'brief': 'Mark', 'long': 'Mark, who also had the Hebrew name John, son of Mary, nephew of Barnabas, coadjutor of Barnabas, Paul, and Peter.'}"
"Ἰόππη",10,"G24450","{'brief': 'Joppa', 'long': 'Joppa, a coast town of Judea, west-north-west of Jerusalem.'}"
"Ἰησοῦς",789,"G24240","{'brief': 'Jesus', 'long': 'Jesus; the Greek form of Joshua; Jesus, son of Eliezer; Jesus, surnamed Justus.'}"
"Λύστρα",6,"G30820","{'brief': 'Lystra', 'long': 'Lystra, a Lycaonian city in the southern part of the Roman province Galatia.'}"
"Μακεδών",5,"G31100","{'brief': 'a Macedonian', 'long': 'a Macedonian, an inhabitant of the Roman province Macedonia.'}"
"Μακεδονία",22,"G31090","{'brief': 'Macedonia', 'long': '(Hebrew), Macedonia, a Roman province north of Achaia (Greece).'}"
"Μῆδος",1,"G33700","{'brief': 'a Mede', 'long': 'a Mede, a Median, from east of Assyria.'}"
"Μεσοποταμία",2,"G33180","{'brief': 'Mesopotamia', 'long': 'Mesopotamia, the Country between the (two) Rivers, i.e. the Euphrates and the Tigris.'}"
"Μαδιάμ",1,"G30990","{'brief': 'Midian', 'long': '(Hebrew), Midian, generally taken to mean or to include the peninsula of Sinai.'}"
"Μολόχ",1,"G34340","{'brief': 'Moloch', 'long': 'Moloch, a god worshipped by several Semitic peoples.'}"
"Σαῦλος",15,"G45690","{'brief': 'Saul, the apostle', 'long': 'Saul, the apostle.'}"
"Σαούλ",9,"G45690","{'brief': 'Saul, the apostle', 'long': 'Saul, the apostle.'}"
"Παῦλος",158,"G39720","{'brief': 'Paul', 'long': 'Paul, Paulus.'}"
"Φαραώ",5,"G53280","{'brief': 'Pharaoh', 'long': 'Pharaoh, the title of ancient Egyptian kings.'}"
"Φίλιπποι",4,"G53750","{'brief': 'Philippi', 'long': 'Philippi, a great city of the Roman province Macedonia.'}"
"Φιλιππήσιος",1,"G53740","{'brief': 'a Philippian', 'long': 'a Philippian, an inhabitant of Philippi.'}"
"Φοινίκη",3,"G54030","{'brief': 'Phoenicia', 'long': 'Phoenicia, a northern coast strip of the Roman province Syria.'}"
"Πόντος",2,"G41950","{'brief': 'Pontus', 'long': 'Pontus, a Roman province in the north of Asia Minor, bordering on the Black Sea, governed along with Bithynia.'}"
"Ποντικός",1,"G41930","{'brief': 'belonging to Pontus', 'long': 'belonging to Pontus.'}"
"Πρίσκιλλα",3,"G42520","{'brief': 'Prisca, Priscilla', 'long': 'Prisca, Priscilla, the former being the more correct and formal name, the latter a diminutive and more familiar; a Roman lady, probably of good birth, wife of the Jewish Christian Aquila.'}"
"Πρίσκα",3,"G42510","{'brief': 'Prisca, Priscilla', 'long': 'Prisca, Priscilla, the former being the more correct and formal name, the latter a diminutive and more familiar; a Roman lady, probably of good birth, wife of the Jewish Christian Aquila.'}"
"Σαμουήλ",3,"G45450","{'brief': 'Samuel', 'long': 'Samuel, a Hebrew prophet.'}"
"Συχέμ",2,"G49660","{'brief': 'Shechem', 'long': 'Shechem.'}"
"Σίλας",8,"G46090","{'brief': 'Silas', 'long': 'Silas, a pet-form of the name ""Silvanus""; a Roman citizen and a helper of Paul.'}"
"Σιλᾶς",4,"G46090","{'brief': 'Silas', 'long': 'Silas, a pet-form of the name ""Silvanus""; a Roman citizen and a helper of Paul.'}"
"Σιλουανός",2,"G46100","{'brief': 'Silvanus', 'long': 'Silvanus, a Roman citizen and a helper of Paul.'}"
"Στέφανος",7,"G47360","{'brief': 'Stephen', 'long': 'Stephen, one of the seven original deacons at Jerusalem, and the first martyr.'}"
"Ταρσεύς",2,"G50180","{'brief': 'belonging to Tarsus', 'long': 'belonging to Tarsus, a Tarsian.'}"
"Ταρσός",3,"G50190","{'brief': 'Tarsus', 'long': 'Tarsus, the capital of the Roman province Cilicia.'}"
"Θεσσαλονίκη",5,"G23320","{'brief': 'Thessalonica', 'long': 'Thessalonica (modern Saloniki), an important city of the Roman province Macedonia.'}"
"Θεσσαλονικεύς",4,"G23310","{'brief': 'Thessalonian', 'long': 'a Thessalonian.'}"
"Τιμόθεος",24,"G50950","{'brief': 'Timothy', 'long': 'Timothy, a Christian of Lystra, helper of Paul.'}"
"Τρῳάς",6,"G51740","{'brief': 'Troas', 'long': 'Troas, a harbor city of Mysia.'}"
"Τυχικός",5,"G51900","{'brief': 'Tychicus', 'long': 'Tychicus, a Christian of the Roman province Asia.'}"
"Βάαλ",1,"G08960","{'brief': 'Baal', 'long': 'Baal, chief deity of the Phoenicians and other Semitic nations.'}"
"Ἠσαῦ",3,"G22690","{'brief': 'Esau', 'long': 'Esau, elder son of Isaac the patriarch, brother of Jacob.'}"
